WAD file    : jagdoom.wad
numlumps    : 1855
infotableofs: 3238548

lump name       size  filepos    0xsize   0xfpos
 428 PLAYA3A7    528   247096    0x0210 0x0003C538
 429        .   1072   247624    0x0430 0x0003C748
 430 PLAYA4A6    516   248616    0x0204 0x0003CB28
 431        .   1036   249132    0x040C 0x0003CD2C
 432   PLAYA5    384   250108    0x0180 0x0003D0FC
 433        .    952   250492    0x03B8 0x0003D27C
 434   PLAYB1    440   251360    0x01B8 0x0003D5E0
 435        .   1156   251800    0x0484 0x0003D798
 436 PLAYB2B8    420   252840    0x01A4 0x0003DBA8
 437        .   1004   253260    0x03EC 0x0003DD4C
 438 PLAYB3B7    460   254216    0x01CC 0x0003E108
 439        .    996   254676    0x03E4 0x0003E2D4
 440 PLAYB4B6    476   255640    0x01DC 0x0003E698
 441        .   1064   256116    0x0428 0x0003E874
 442   PLAYB5    396   257104    0x018C 0x0003EC50
 443        .   1040   257500    0x0410 0x0003EDDC
 444   PLAYC1    432   258460    0x01B0 0x0003F19C
 445        .   1136   258892    0x0470 0x0003F34C
 446 PLAYC2C8    464   259932    0x01D0 0x0003F75C
 447        .   1128   260396    0x0468 0x0003F92C
 448 PLAYC3C7    472   261424    0x01D8 0x0003FD30
 449        .    988   261896    0x03DC 0x0003FF08
 450 PLAYC4C6    476   262816    0x01DC 0x000402A0
 451        .   1028   263292    0x0404 0x0004047C
 452   PLAYC5    388   264276    0x0184 0x00040854
 453        .   1076   264664    0x0434 0x000409D8
 454   PLAYD1    428   265636    0x01AC 0x00040DA4
 455        .   1140   266064    0x0474 0x00040F50
 456 PLAYD2D8    416   267084    0x01A0 0x0004134C
 457        .   1120   267500    0x0460 0x000414EC
 458 PLAYD3D7    404   268516    0x0194 0x000418E4
 459        .    952   268920    0x03B8 0x00041A78
 460 PLAYD4D6    456   269828    0x01C8 0x00041E04
 461        .    988   270284    0x03DC 0x00041FCC
 462   PLAYD5    408   271236    0x0198 0x00042384
 463        .   1072   271644    0x0430 0x0004251C
 464   PLAYE1    340   272652    0x0154 0x0004290C
 465        .   1048   272992    0x0418 0x00042A60
 466 PLAYE2E8    544   273952    0x0220 0x00042E20
 467        .   1008   274496    0x03F0 0x00043040
 468 PLAYE3E7    648   275396    0x0288 0x000433C4
 469        .   1168   276044    0x0490 0x0004364C
 470 PLAYE4E6    448   277044    0x01C0 0x00043A34
 471        .   1116   277492    0x045C 0x00043BF4
 472   PLAYE5    332   278484    0x014C 0x00043FD4
 473        .    948   278816    0x03B4 0x00044120
 474   PLAYF1    336   279684    0x0150 0x00044484
 475        .   1056   280020    0x0420 0x000445D4
 476 PLAYF2F8    568   280948    0x0238 0x00044974
 477        .   1032   281516    0x0408 0x00044BAC
 478 PLAYF3F7    640   282464    0x0280 0x00044F60
 479        .   1220   283104    0x04C4 0x000451E0
 480 PLAYF4F6    480   284152    0x01E0 0x000455F8
 481        .   1172   284632    0x0494 0x000457D8
 482   PLAYF5    304   285660    0x0130 0x00045BDC
 483        .    916   285964    0x0394 0x00045D0C
 484   PLAYG1    460   286808    0x01CC 0x00046058
 485        .   1184   287268    0x04A0 0x00046224
 486 PLAYG2G8    448   288304    0x01C0 0x00046630
 487        .   1016   288752    0x03F8 0x000467F0
 488 PLAYG3G7    560   289680    0x0230 0x00046B90
 489        .   1112   290240    0x0458 0x00046DC0
 490 PLAYG4G6    528   291264    0x0210 0x000471C0
 491        .   1144   291792    0x0478 0x000473D0
 492   PLAYG5    408   292800    0x0198 0x000477C0
 493        .   1120   293208    0x0460 0x00047958
 494   PLAYH0    564   294188    0x0234 0x00047D2C
 495        .   1260   294752    0x04EC 0x00047F60
 496   PLAYI0    424   295908    0x01A8 0x000483E4
 497        .   1144   296332    0x0478 0x0004858C
 498   PLAYJ0    424   297388    0x01A8 0x000489AC
